id,fecha,categoria_principal,nombre,precio_bs,precio_usd,tasa_bcv_usd,precio_ref,pagina,url_pagina,timestamp
70,2026-04-20,Ingredientes_Para_Postres,LEVADURA PAKMAYA 500GR INSTATANEA,3646.97,7.58,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
71,2026-04-20,Ingredientes_Para_Postres,LLUVIA DE COLORES KRON 500GR,2247.73,4.67,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
72,2026-04-20,Ingredientes_Para_Postres,LLUVIA LA MARCONA 200GR CHOCOLATE,2353.57,4.89,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
73,2026-04-20,Ingredientes_Para_Postres,MAIZINA AMERICANA 200GR ENRIQUECIDA,846.48,1.76,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
74,2026-04-20,Ingredientes_Para_Postres,MAIZINA AMERICANA 400GR ENRIQUECIDA,1602.67,3.33,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
75,2026-04-20,Ingredientes_Para_Postres,MAIZINA AMERICANA 800GR ENRIQUECIDA,2855.14,5.93,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
76,2026-04-20,Ingredientes_Para_Postres,MELASA DE CANA TREPARRISCO 600GR,2374.01,4.93,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
77,2026-04-20,Ingredientes_Para_Postres,PAPEL HIG ROSAL PLUS 4ROLL 400HOJAS NARANJA,1444.03,3.00,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
78,2026-04-20,Ingredientes_Para_Postres,POLLO ENTERO XUND,4282.84,8.90,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
79,2026-04-20,Ingredientes_Para_Postres,HUEVOS EL TUNAL 30UND,3777.56,7.85,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
80,2026-04-20,Ingredientes_Para_Postres,ARCOS DENTALES GALACTIC X30UND,1116.42,2.32,481.22,,5,https://www.plansuarez.com/index.php?route=product/category&path=238&page=5,2026-04-20T17:59:55.565524
81,2026-04-20,Ingredientes_Para_Postres,MEZCLA BROWNIES LUCHA 500GR SIN GLUT,2552.89,5.31,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
82,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE PANQUECAS DULCILINA 250GR AVENA CON PROTEINA,8343.42,17.34,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
83,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE PANQUECAS OUT GLUTEN 350GR,4228.85,8.79,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
84,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE PANQUECAS OUT GLUTEN 350GR C/PROTEINA BROWNIE,4833.00,10.04,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
85,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE PANQUECAS OUT GLUTEN 350GR C/PROTEINA VAINILLA,4833.00,10.04,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
86,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE PANQUECAS TOSH 300GR AVENA Y ARROZ SIN AZUCAR,2292.42,4.76,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
87,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE TORTA LA LUCHA 500GR CHOCOLATE,1741.62,3.62,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
88,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE TORTA LA LUCHA 500GR VAINILA,1101.54,2.29,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
89,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE TORTA RENATA 400GR BROWNIE,1250.40,2.60,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
90,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE TORTA RENATA 400GR CHOCOLATE,1250.40,2.60,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
91,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE TORTA RENATA 400GR LIMON,1250.40,2.60,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
92,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE TORTA RENATA 400GR VAINILLA,1250.40,2.60,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
93,2026-04-20,Ingredientes_Para_Postres,PAPEL HIG ROSAL PLUS 4ROLL 400HOJAS NARANJA,1444.03,3.00,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
94,2026-04-20,Ingredientes_Para_Postres,POLLO ENTERO XUND,4282.84,8.90,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
95,2026-04-20,Ingredientes_Para_Postres,HUEVOS EL TUNAL 30UND,3777.56,7.85,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
96,2026-04-20,Ingredientes_Para_Postres,ARCOS DENTALES GALACTIC X30UND,1116.42,2.32,481.22,,6,https://www.plansuarez.com/index.php?route=product/category&path=238&page=6,2026-04-20T17:59:59.278843
97,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE TORTA TIGO 400GR NARANJA,904.30,1.88,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
98,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE TORTA TIGO 400GR PINA,904.30,1.88,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
99,2026-04-20,Ingredientes_Para_Postres,MEZCLA DE TORTA TIGO 400GR VAINILLA,904.30,1.88,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
100,2026-04-20,Ingredientes_Para_Postres,MEZCLA MASTER TOP 1LT TRES LECHE,3776.35,7.85,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
101,2026-04-20,Ingredientes_Para_Postres,MEZCLA PARA BROWNIE TIGO 400GR,1199.64,2.49,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
102,2026-04-20,Ingredientes_Para_Postres,MIEL DE ABEJA GRACIAS PAPA 1LT,6416.22,13.33,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
103,2026-04-20,Ingredientes_Para_Postres,MIEL DE ABEJA GUILAN 1000GR,9824.54,20.42,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
104,2026-04-20,Ingredientes_Para_Postres,MIEL DE ABEJA GUILAN 500GR,5284.43,10.98,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
105,2026-04-20,Ingredientes_Para_Postres,MIEL DE ABEJA GUILAN 250GR,4316.82,8.97,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
106,2026-04-20,Ingredientes_Para_Postres,MIEL DE ABEJA LA ENCANTADA 360GR,5157.88,10.72,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
107,2026-04-20,Ingredientes_Para_Postres,MIEL DE ABEJA LA ENCANTADA 500GR,6698.55,13.92,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
108,2026-04-20,Ingredientes_Para_Postres,MIEL PURA 100% YEMAR 1LT,3079.79,6.40,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
